din­ing	!din­ing/JJ NN
$4.23	VV CD NN JJ NN SYM !$4.23/JJ NNS
2/	VV CD NN IN JJ JJ NN IN NN !@card@/CD JJ NN
02356-05	VV CD NN IN NN NN !@card@/CD CD CD JJ NN NN JJ NN NN
25-cent	NN IN DT NN IN NN NN !25-cent/JJ IN JJ NN VVG NP NN
michael	!Michael/NP NNS NN NNS NN NN
scotch-brite	!scotch-brite/JJ JJ NNS
tee	NNS JJ !tee/NN IN NN DT
ultra-light	VV CD NN IN NN NN JJ JJ !ultra-light/NN NN
platinum	JJ NN !platinum/NN NN NN JJ
treat	RB TO NN NN !treat/VVP IN NN
rj45	CD NN !rj45/JJ NN NN IN NN
lionheart	VV CD NN IN NN !lionheart/NN JJ NN
union	NN NNS NN !union/NN
acid	JJ NN IN JJ !acid/JJ NN NN SYM
$59.49	JJ NN NN JJ NN IN NN JJ IN !$59.49/NN
79	VV !@card@/CD NN IN NP NP NN NN NN
concoction	CD NN IN NN NNS JJ !concoction/NN NN
$26	NN TO NN !$26/NN
$47.93	IN !$47.93/NN
endor	CD NN IN NN NN NN NNS !endor/NN NN NN
pavillion	VV CD NN IN !pavillion/NN NN
programmable	CD NN IN JJ NN JJ !programmable/JJ NN NN
mobilicity	!mobilicity/NN JJ NN NN
hilroy	NN NNS RB TO NN NNS NNS VV CD NN IN !hilroy/NN NN NN NN NN
reality	CD NN IN JJ NN JJ NN NN JJ !reality/NN NNS
collectible	!collectable/JJ NNS
derma	!derma/NN NN
shell	CD NN IN NN IN DT !shell/JJ NN
husky	VV CD !husky/JJ NN NNS IN RB JJ
weekly	NP NP !weekly/JJ JJ NNS NNS NNS IN JJ NN
gold	!gold/JJ JJ NN
hair	!hair/NN NN
ksb	VV CD NN IN NN !ksb/NN CD NN IN VVG NN
parkland	VV CD NN IN !parkland/NN NNS SYM JJ CD NN IN JJ NN
taste	NN NN !taste/NN IN NN JJ NN NN
earn	!earn/VV CD NN IN PP$ NN CC JJ NN NN NNS NN NNS
board	VV CD NN IN NN !board/NN NN
chinos	JJ NN !chino/NNS IN NN DT
cibc	!cibc/NN NNS
edition	JJ NN !edition/NN
acuvue	VV !acuvue/NN NNS IN RB JJ
doorcrasher	!doorcrasher/NN NNS
jean	VV CD NN IN !jean/NN NN NN NN NN
panasonic	VV NN IN !panasonic/JJ JJ NN RB JJ IN JJ NN
$10/	VV NN NNS IN JJ !$10//JJ NN
jeecoo	VV JJ IN !jeecoo/NN NN NN
bulli	VV NN IN NN !bulli/NP CD
lux-mini	VV CD NN IN JJ NN !lux-mini/NNS JJ JJ NN NN
8	NN !8/CD
progress	VV CD NN IN !progress/NN NN NN CD NN NN NN NN
tan	CD NN IN NN NN !tan/NN NN
apparel	!apparel/NN
multi-bin	JJ NNS !multi-bin/NN NN NN NN NN
spress	PP MD VV CD IN CD NN NN !spress/NN
tight-top	RB JJ IN NN NN NN NP !tight-top/JJ NN NN VVN
fondue	VV CD NN IN JJ !fondue/NN NN
$10.50	DT JJ NNS IN !$10.50/NP SYM DT NN NN IN NN
treadmill	CD NN IN !treadmill/NN
valumax	CD NN IN !valumax/NN CD NN NN NN NN
snifflin	VV CD NN IN NP !snifflin/NN NN
meringue	JJ JJ !meringue/NN NN IN NN
linux	CD NN IN NN NN NN NN IN JJ JJ !linux/NNS
gocoupons	!gocoupons/NNS
15pc	CD NN IN NP !15pc/NP NN NN
gum	JJ NN IN NN NN NN !gum/NN
78¢	VV DT NN NNS CC VV DT JJ NN JJ VVN NNS IN !78¢/NP
harbour	JJ JJ !harbour/NN NN NN NN
slim	VV CD NN IN NP !slim/JJ NN
coupons*	NN CC NNS JJ !coupons*/NN
same-day	VV RB TO CD NN IN JJ NNS SYM JJ !same-day/NN NN
dairy-free	!dairy-free/NN
league	NN !league/NN NN IN JJ NN IN CD RB
biotin	!biotin/NN CD NNS IN NN
dyke	VV CD NN IN DT NN NN !dyke/NN NN
detect	NN !detect/VVP
montana	VBZ VVG !montana/NN NN VVN NNS JJ TO NN DT
room	CD NN IN NP JJ NN JJ !room/NN NN NNS
loaf	VV DT JJ NN IN DT NN IN DT JJ !loaf/NN
cherry	VVN !cherry/NN
mop	CD NN IN NN NN JJ NN NN !mop/VV
cast	VV NN IN NP NP NP !cast/VVD NN NN NN IN NN
hx3211/	VV CD NN IN JJ NN NN VVG !hx3211//NP CD
jergens	!jergens/NNS NNS JJ CD NN
join	JJ NN WRB PP !join/VVP NN NN NN NN
range	CD NN IN NNS JJ !range/NN NN NN
headlamp	VV CD NN IN NN NN JJ NN VVG VVN !headlight/NN
iron	VV CD NN IN NN NN !iron/NN NNS
nesspresso	VV CD NN IN !nesspresso/NN NN NNS NN NN CC NN NN NN
mississauga	NN NN RB TO CD NN IN !Mississauga/NP NP NN
purchas	VV DT JJ NN NN IN !purchas/NNS IN CD NN NN NNS
backup	CD NN IN NN !backup/NN CC JJ NN
rubbermaid	!rubbermaid/NN JJ JJ NN NN
spicy	!spicy/JJ NN NN NN
$39.95	NN NN NN NN NN IN !$39.95/NN
beds	VV CD NN IN NN !bed/NNS SYM NP NN IN JJ CD NN IN NN
cookwarecookware	RBR RB TO CD NN IN !cookwarecookware/NN
fashioned	VV CD NN IN NN NNS CD NN VVD RB JJ !fashion/VVN NN
holla	NNS VVD CD NN !hollo/NN NN NN
$14.58	IN !$14.58/NN
jvc	NN IN !jvc/NN NN NN IN NN
