#31	VV CD CD NN IN NN NN !#31/NN
$	IN !$/$ CD
$0	NN NN PP VVZ IN !$0/NN
$0.25	!$0.25/JJ JJ NN
$0.33	VV NN NN IN NNS IN !$0.33/NN RB SYM IN CD NN IN JJ NNS
$0.48	NNS NN NN IN !$0.48/NP SYM JJ NN
$0.50	VV NN IN NN NNS CC !$0.50/NN IN NN
$0.59	CD NN JJ NN IN NN CC NN NN IN !$0.59/NN
$0.66	VV NNS IN CD NNS VV NN IN RB !$0.66/JJ
$0.69	VV NN JJ NN NN NN NN JJ NN NN IN JJ !$0.69/NN SYM JJ NN
$0.75	VV !$0.75/JJ NN NNS NN NN NN
$0.77	VV CD NN VVP DT JJ NN IN JJ !$0.77/NNS SYM NN NN
$0.86	VV CD JJ NN NNS IN RB !$0.86/JJ
$0.89	VVN NNS IN !$0.89/NN
$0.94	VV NP CD JJ NN NNS IN NN IN !$0.94/NN
$0.95	VVP VVZ NNS JJ IN RB !$0.95/JJ
$0.99	VV PP IN !$0.99/NN
$1	VV !$1/JJ IN NN NN NN
$1,048	NN NN NN NN NN NN IN !$1,048/NN
$1,049.99	IN !$1,049.99/NN IN JJ NN
$1,095	NN IN !$1,095/JJ CD NN RP
$1,150	VV RP TO !$1,150/NN IN NNS
$1,199.99	NP JJ NN NN NN IN !$1,199.99/NN
$1,250	!$1,250/JJ NN VVZ JJ NN
$1,29	NN IN !$1,29/NN
$1,439	VVN CD NN NN IN !$1,439/NN
$1,610	NN IN !$1,610/NN
$1,700	NNS NN NN VVN IN NN IN !$1,700/NN
$1,800	VV !$1,800/NN IN NNS
$1.00	VV !$1.00/NN IN JJ NN NN NN
$1.04	NN NNS VVD NN NNS IN !$1.04/NN
$1.24	DT JJ IN NN IN !$1.24/NN
$1.25	NN !$1.25/NN CC JJR
$1.29	IN !$1.29/NN DT
$1.31	VV !$1.31/JJ IN DT JJ NN NN NN NN CC NNS SYM NN NN
$1.39	CD JJ NNS VVG IN !$1.39/NN DT
$1.46	VV DT JJ JJ NN NN IN JJ !$1.46/NN
$1.47	IN RB !$1.47/JJ
$1.49	NN NNS IN !$1.49/NN CC JJR NNS
$1.5	VV !$1.5/NN IN NN NNS JJ NN
$1.50	VV !$1.50/NN IN JJ NN NN JJ NN
$1.60	NNS IN JJ IN !$1.60/NN
$1.67	NNS IN RB !$1.67/JJ
$1.79	VV NNS IN NN NNS IN !$1.79/NN RB
$1.80	NNS VVG IN RB !$1.80/JJ
$1.89	VVP VVZ CC NN IN !$1.89/NN DT
$1.90	VV NN NNS IN !$1.90/NN
$1.97	CD JJ NNS IN !$1.97/JJ IN NN
$1.98	VV !$1.98/JJ NN
$1.99	NN IN !$1.99/NN
$10	VV !$10/NN IN DT JJ NN
$10,000	VV DT !$10,000/JJ NN NN
$10.00	VV NN IN PP$ JJ NN IN !$10.00/NN
$10.25	CD MD VV NNS JJ NN IN !$10.25/NN
$10.37	IN !$10.37/JJ
$10.39	NN CD NNS IN !$10.39/NN
$10.48	CD MD VV IN !$10.48/NN
$10.49	CD MD VV IN RB !$10.49/JJ
$10.50	DT JJ NNS IN !$10.50/NP SYM DT NN NN IN NN
$10.69+	CD MD VV IN !$10.69+/JJ JJR NNS
$10.78	CD MD VV IN !$10.78/NP SYM JJR NNS
$10.86	IN !$10.86/NN
$10.95	JJ NN NN NN IN !$10.95/NN
$10.99	!$10.99/NN IN DT JJ CD VVG NN
$10/	VV NN NNS IN JJ !$10//JJ NN
$100	VV !$100/NN VV JJ NN NN VVP CD NN NNS SYM NNS NNS
$100+	VV CD NN IN PP$ NN IN !$100+/NN IN NP NN
$100.00	!$100.00/NN IN NN CD NN NN NN NN VVN IN NN
$1000	NN CD IN !$1000/NN IN NN NN NN
$101.48	!$101.48/NN IN NN NN NN NN
$103.03	JJ NNS IN NNS VVG IN RB !$103.03/JJ
$104.04	VV NN NNS JJ JJ JJ NN NN IN !$104.04/NN
$105	JJ NN !$105/NN
$107	!$107/JJ NN
$107.99	NN NN JJ JJ IN !$107.99/NN
$108	!$108/JJ NN
$109.95	!$109.95/JJ NNS NN CD JJ NN NN NN IN CD NN
$109.96	IN !$109.96/NN
$109.99	!$109.99/JJ
$1099.98	NN NN JJ NN IN DT NNS SYM !$1099.98/JJ NN NN NN NN SYM JJR NNS
$10us	!$10us/NN IN NN
$11	RB TO !$11/NN IN DT JJ NN NNS
$11+	NNS IN !$11+/JJ NN NNS VVG IN NN
$11.00	VV !$11.00/NN IN JJ NNS NN NN
$11.11	IN !$11.11/NN VVP DT JJ
$11.25	NN NNS CC NN NN VVG IN !$11.25/NN
$11.58	CD IN !$11.58/JJ
$11.64	RB IN !$11.64/NN
$11.66	CD NN VVZ RB JJ IN CD NNS IN !$11.66/NN DT
$11.90	JJ NN CC VV VVN NN CD IN !$11.90/NN IN JJ CD NN IN NP NP NN
$11.95	JJ JJ NNS !$11.95/NN RB SYM NN TO VV NN IN DT JJ NN SYM IN CD NN RP
$11.99	JJ CD NNS NN IN !$11.99/NN
$110	!$110/NP
$1100	VV !$1100/NN IN JJS NN NN NN NN JJ NN NN NN
$111	NN IN !$111/NN
$111.99	VV NN JJ CD NN NN NN NN NN IN !$111.99/NN
$113	!$113/JJ NN
$113.27	NN IN !$113.27/JJ
$113.48	IN !$113.48/NN
$113.62	VV JJ NN NN CD NN JJ JJ NN IN !$113.62/NN
$115	IN !$115/JJ NN
$115.99	NN NN NN NN NN IN !$115.99/NN
$117	!$117/JJ NN
$118	VV !$118/NN
$118.99	IN !$118.99/NN
$119	DT NN NN IN RB !$119/JJ CC JJR
$119.00	NNS JJ CD VVD JJ NN IN !$119.00/NN
$119.97	IN !$119.97/JJ
$119.99	IN !$119.99/NN
$1199.99	NN CD IN NN IN NN NN NN CD RB IN NP SYM IN JJ NN CD JJ NP VVD NN RB IN !$1199.99/NN
$11on	VV !$11on/NN VVZ NN CC NNS
